status_id,status,description,date_of_change,loan_agreement_id
628,overdue,Payment overdue,2022-06-29,628
629,overdue,Payment overdue,2021-11-13,629
630,active,Loan in good standing,2023-11-26,630
631,active,Loan in good standing,2023-11-26,631
632,closed,Loan successfully repaid,2020-11-17,632
633,overdue,Payment overdue,2023-03-17,633
634,overdue,Payment overdue,2020-09-03,634
635,active,Loan in good standing,2023-11-26,635
636,overdue,Payment overdue,2021-11-19,636
637,active,Loan in good standing,2023-08-01,637
638,closed,Loan successfully repaid,2019-01-19,638
639,closed,Loan successfully repaid,2017-11-01,639
640,active,Loan in good standing,2023-07-03,640
641,closed,Loan successfully repaid,2022-08-23,641
642,active,Loan in good standing,2020-05-27,642
643,active,Loan in good standing,2022-11-23,643
644,active,Loan in good standing,2023-11-26,644
645,closed,Loan successfully repaid,2021-11-11,645
646,overdue,Payment overdue,2021-11-09,646
647,closed,Loan successfully repaid,2021-02-11,647
648,closed,Loan successfully repaid,2023-02-20,648
649,closed,Loan successfully repaid,2019-02-06,649
650,closed,Loan successfully repaid,2023-04-08,650
651,overdue,Payment overdue,2022-08-16,651
652,active,Loan in good standing,2022-12-12,652
653,closed,Loan successfully repaid,2020-04-14,653
654,overdue,Payment overdue,2019-08-12,654
655,active,Loan in good standing,2023-11-26,655
656,active,Loan in good standing,2022-08-11,656
657,closed,Loan successfully repaid,2018-09-05,657
658,closed,Loan successfully repaid,2019-01-08,658
659,closed,Loan successfully repaid,2017-09-10,659
660,closed,Loan successfully repaid,2019-11-03,660
661,closed,Loan successfully repaid,2016-07-19,661
662,overdue,Payment overdue,2022-02-15,662
663,closed,Loan successfully repaid,2018-04-12,663
664,active,Loan in good standing,2023-11-26,664
665,closed,Loan successfully repaid,2020-08-20,665
666,overdue,Payment overdue,2019-08-01,666
667,closed,Loan successfully repaid,2016-09-05,667
668,active,Loan in good standing,2023-11-26,668
669,overdue,Payment overdue,2021-08-19,669
670,overdue,Payment overdue,2018-05-24,670
671,closed,Loan successfully repaid,2016-07-23,671
672,overdue,Payment overdue,2022-05-27,672
673,active,Loan in good standing,2023-07-08,673
674,closed,Loan successfully repaid,2022-01-14,674
675,active,Loan in good standing,2023-07-18,675
676,active,Loan in good standing,2023-02-01,676
677,active,Loan in good standing,2020-10-31,677
678,overdue,Payment overdue,2023-06-05,678
679,active,Loan in good standing,2022-08-12,679
680,overdue,Payment overdue,2021-11-29,680
681,active,Loan in good standing,2018-01-25,681
682,overdue,Payment overdue,2023-10-13,682
683,active,Loan in good standing,2023-05-21,683
684,closed,Loan successfully repaid,2017-02-11,684
685,active,Loan in good standing,2022-10-03,685
686,closed,Loan successfully repaid,2020-08-07,686
687,overdue,Payment overdue,2023-11-16,687
688,overdue,Payment overdue,2021-05-09,688
689,closed,Loan successfully repaid,2021-04-11,689
690,active,Loan in good standing,2022-03-03,690
691,active,Loan in good standing,2023-11-26,691
692,closed,Loan successfully repaid,2017-11-30,692
693,overdue,Payment overdue,2023-03-21,693
694,closed,Loan successfully repaid,2022-11-24,694
695,active,Loan in good standing,2022-05-25,695
696,closed,Loan successfully repaid,2021-02-25,696
697,closed,Loan successfully repaid,2023-04-03,697
698,closed,Loan successfully repaid,2020-02-12,698
699,active,Loan in good standing,2023-11-21,699
700,overdue,Payment overdue,2020-01-17,700
701,closed,Loan successfully repaid,2022-08-11,701
702,active,Loan in good standing,2022-08-30,702
703,overdue,Payment overdue,2022-09-01,703
704,active,Loan in good standing,2023-11-26,704
705,active,Loan in good standing,2023-11-26,705
706,active,Loan in good standing,2023-11-26,706
707,active,Loan in good standing,2023-11-26,707
708,closed,Loan successfully repaid,2019-11-14,708
709,overdue,Payment overdue,2019-02-02,709
710,overdue,Payment overdue,2022-06-08,710
711,active,Loan in good standing,2023-08-24,711
712,overdue,Payment overdue,2023-05-07,712
713,active,Loan in good standing,2016-10-10,713
714,overdue,Payment overdue,2020-12-13,714
715,overdue,Payment overdue,2023-05-12,715
716,active,Loan in good standing,2023-06-24,716
717,closed,Loan successfully repaid,2021-04-21,717
718,active,Loan in good standing,2023-05-10,718
719,active,Loan in good standing,2017-09-24,719
720,closed,Loan successfully repaid,2018-12-07,720
721,active,Loan in good standing,2018-10-07,721
722,active,Loan in good standing,2022-09-08,722
723,active,Loan in good standing,2023-10-11,723
724,active,Loan in good standing,2023-08-18,724
725,overdue,Payment overdue,2023-02-20,725
726,closed,Loan successfully repaid,2020-10-27,726
727,closed,Loan successfully repaid,2016-11-10,727
728,overdue,Payment overdue,2020-09-04,728
729,overdue,Payment overdue,2019-01-05,729
730,active,Loan in good standing,2023-11-26,730
731,closed,Loan successfully repaid,2021-09-20,731
732,overdue,Payment overdue,2023-01-26,732
733,overdue,Payment overdue,2017-07-28,733
734,active,Loan in good standing,2022-04-06,734
735,closed,Loan successfully repaid,2020-08-08,735
736,overdue,Payment overdue,2021-04-23,736
737,active,Loan in good standing,2023-11-26,737
738,overdue,Payment overdue,2021-08-07,738
739,overdue,Payment overdue,2023-09-21,739
740,closed,Loan successfully repaid,2022-12-13,740
741,closed,Loan successfully repaid,2021-04-07,741
742,overdue,Payment overdue,2023-03-31,742
743,active,Loan in good standing,2023-05-13,743
744,active,Loan in good standing,2022-03-08,744
745,overdue,Payment overdue,2020-06-20,745
746,closed,Loan successfully repaid,2020-11-10,746
747,active,Loan in good standing,2022-04-06,747
748,overdue,Payment overdue,2020-07-28,748
749,active,Loan in good standing,2023-10-09,749
750,overdue,Payment overdue,2019-10-16,750
751,active,Loan in good standing,2020-06-16,751
752,closed,Loan successfully repaid,2019-08-07,752
753,overdue,Payment overdue,2023-02-24,753
754,active,Loan in good standing,2023-11-26,754
755,closed,Loan successfully repaid,2021-06-20,755
756,active,Loan in good standing,2023-11-26,756
757,closed,Loan successfully repaid,2019-01-02,757
758,closed,Loan successfully repaid,2018-09-03,758
759,active,Loan in good standing,2023-11-26,759
760,active,Loan in good standing,2023-10-13,760
761,active,Loan in good standing,2022-04-15,761
762,active,Loan in good standing,2022-07-24,762
763,closed,Loan successfully repaid,2019-12-30,763
764,active,Loan in good standing,2023-11-26,764
765,active,Loan in good standing,2023-11-26,765
766,active,Loan in good standing,2023-11-01,766
767,active,Loan in good standing,2021-11-08,767
768,overdue,Payment overdue,2022-02-26,768
769,active,Loan in good standing,2023-01-12,769
770,closed,Loan successfully repaid,2016-11-10,770
771,overdue,Payment overdue,2022-11-01,771
772,active,Loan in good standing,2023-11-26,772
773,closed,Loan successfully repaid,2022-07-05,773
774,overdue,Payment overdue,2021-10-12,774
775,closed,Loan successfully repaid,2021-06-09,775
776,overdue,Payment overdue,2021-12-27,776
777,closed,Loan successfully repaid,2023-01-31,777
778,closed,Loan successfully repaid,2022-09-17,778
779,closed,Loan successfully repaid,2021-12-13,779
780,active,Loan in good standing,2023-11-26,780
781,overdue,Payment overdue,2019-12-20,781
782,active,Loan in good standing,2018-05-17,782
783,closed,Loan successfully repaid,2021-10-03,783
784,active,Loan in good standing,2023-07-30,784
785,closed,Loan successfully repaid,2023-04-13,785
786,active,Loan in good standing,2023-07-01,786
787,active,Loan in good standing,2023-02-05,787
788,closed,Loan successfully repaid,2016-09-11,788
789,closed,Loan successfully repaid,2019-12-03,789
790,closed,Loan successfully repaid,2022-03-23,790
791,closed,Loan successfully repaid,2022-11-17,791
792,overdue,Payment overdue,2022-01-13,792
793,active,Loan in good standing,2023-11-26,793
794,overdue,Payment overdue,2022-09-09,794
795,active,Loan in good standing,2023-11-12,795
796,active,Loan in good standing,2023-11-26,796
797,closed,Loan successfully repaid,2020-12-29,797
798,closed,Loan successfully repaid,2021-04-21,798
799,active,Loan in good standing,2023-11-26,799
800,overdue,Payment overdue,2020-02-25,800
801,overdue,Payment overdue,2022-04-01,801
802,overdue,Payment overdue,2020-04-23,802
803,active,Loan in good standing,2023-11-05,803
804,closed,Loan successfully repaid,2019-03-13,804
805,overdue,Payment overdue,2021-11-20,805
806,overdue,Payment overdue,2018-10-08,806
807,active,Loan in good standing,2020-08-10,807
808,closed,Loan successfully repaid,2023-08-24,808
809,closed,Loan successfully repaid,2021-03-13,809
810,closed,Loan successfully repaid,2016-11-09,810
811,overdue,Payment overdue,2023-11-06,811
812,overdue,Payment overdue,2022-04-30,812
813,active,Loan in good standing,2023-09-07,813
814,closed,Loan successfully repaid,2020-02-10,814
815,active,Loan in good standing,2023-10-08,815
816,overdue,Payment overdue,2022-04-22,816
817,overdue,Payment overdue,2022-08-03,817
818,active,Loan in good standing,2021-03-06,818
819,active,Loan in good standing,2023-11-26,819
820,active,Loan in good standing,2023-11-26,820
821,active,Loan in good standing,2023-11-26,821
822,active,Loan in good standing,2023-05-02,822
823,closed,Loan successfully repaid,2021-03-31,823
824,closed,Loan successfully repaid,2020-06-19,824
825,overdue,Payment overdue,2018-10-13,825
826,closed,Loan successfully repaid,2019-01-27,826
827,overdue,Payment overdue,2020-05-02,827
828,closed,Loan successfully repaid,2022-08-24,828
829,closed,Loan successfully repaid,2020-03-25,829
830,closed,Loan successfully repaid,2019-09-04,830
831,closed,Loan successfully repaid,2022-11-03,831
832,overdue,Payment overdue,2020-09-13,832
833,active,Loan in good standing,2023-11-26,833
834,active,Loan in good standing,2022-09-18,834
835,overdue,Payment overdue,2019-06-28,835
836,active,Loan in good standing,2022-02-12,836
837,closed,Loan successfully repaid,2021-11-07,837
838,overdue,Payment overdue,2023-04-04,838
839,overdue,Payment overdue,2023-10-07,839
840,overdue,Payment overdue,2023-03-30,840
841,closed,Loan successfully repaid,2019-04-11,841
842,closed,Loan successfully repaid,2022-05-17,842
843,closed,Loan successfully repaid,2017-09-22,843
844,active,Loan in good standing,2023-01-18,844
845,overdue,Payment overdue,2023-11-09,845
846,active,Loan in good standing,2023-02-09,846
847,overdue,Payment overdue,2020-02-06,847
848,overdue,Payment overdue,2021-12-02,848
849,active,Loan in good standing,2023-11-26,849
850,closed,Loan successfully repaid,2021-11-24,850
851,closed,Loan successfully repaid,2017-06-15,851
852,closed,Loan successfully repaid,2022-05-04,852
853,active,Loan in good standing,2023-11-26,853
854,closed,Loan successfully repaid,2018-04-17,854
855,active,Loan in good standing,2018-06-04,855
856,overdue,Payment overdue,2023-08-17,856
857,overdue,Payment overdue,2023-07-17,857
858,closed,Loan successfully repaid,2020-06-07,858
859,active,Loan in good standing,2023-11-26,859
860,closed,Loan successfully repaid,2021-06-06,860
861,overdue,Payment overdue,2019-03-01,861
862,active,Loan in good standing,2023-11-09,862
863,active,Loan in good standing,2023-11-26,863
864,overdue,Payment overdue,2022-10-24,864
865,active,Loan in good standing,2023-11-26,865
866,overdue,Payment overdue,2023-02-11,866
867,overdue,Payment overdue,2021-10-09,867
868,closed,Loan successfully repaid,2021-10-01,868
869,overdue,Payment overdue,2021-11-02,869
870,active,Loan in good standing,2023-11-20,870
871,overdue,Payment overdue,2023-04-03,871
872,active,Loan in good standing,2023-11-26,872
873,overdue,Payment overdue,2020-09-17,873
874,overdue,Payment overdue,2022-04-24,874
875,active,Loan in good standing,2023-09-05,875
876,active,Loan in good standing,2023-03-14,876
877,overdue,Payment overdue,2023-09-21,877
878,closed,Loan successfully repaid,2020-10-31,878
879,active,Loan in good standing,2022-07-09,879
880,active,Loan in good standing,2023-08-10,880
881,active,Loan in good standing,2023-09-29,881
882,active,Loan in good standing,2023-03-05,882
883,overdue,Payment overdue,2022-02-13,883
884,active,Loan in good standing,2023-07-29,884
885,closed,Loan successfully repaid,2017-05-02,885
886,overdue,Payment overdue,2021-10-20,886
887,closed,Loan successfully repaid,2019-06-13,887
888,closed,Loan successfully repaid,2019-10-01,888
889,active,Loan in good standing,2023-07-19,889
890,overdue,Payment overdue,2023-10-11,890
891,active,Loan in good standing,2023-10-27,891
892,closed,Loan successfully repaid,2018-11-08,892
893,closed,Loan successfully repaid,2020-05-17,893
894,overdue,Payment overdue,2023-04-26,894
895,overdue,Payment overdue,2021-10-31,895
896,overdue,Payment overdue,2022-02-10,896
897,active,Loan in good standing,2023-11-26,897
898,active,Loan in good standing,2023-11-26,898
899,overdue,Payment overdue,2023-11-07,899
900,overdue,Payment overdue,2019-10-05,900
901,active,Loan in good standing,2023-11-26,901
902,overdue,Payment overdue,2019-08-17,902
903,closed,Loan successfully repaid,2019-03-24,903
904,active,Loan in good standing,2023-07-18,904
905,active,Loan in good standing,2023-11-05,905
906,closed,Loan successfully repaid,2020-03-29,906
907,overdue,Payment overdue,2020-12-12,907
908,active,Loan in good standing,2023-11-26,908
909,active,Loan in good standing,2023-05-25,909
910,overdue,Payment overdue,2022-06-12,910
911,closed,Loan successfully repaid,2020-01-07,911
912,closed,Loan successfully repaid,2017-02-08,912
913,closed,Loan successfully repaid,2019-08-07,913
914,active,Loan in good standing,2023-10-29,914
915,active,Loan in good standing,2023-08-12,915
916,closed,Loan successfully repaid,2020-08-11,916
917,overdue,Payment overdue,2021-12-01,917
918,active,Loan in good standing,2023-11-06,918
919,closed,Loan successfully repaid,2018-01-19,919
920,closed,Loan successfully repaid,2020-11-22,920
921,closed,Loan successfully repaid,2021-09-05,921
922,active,Loan in good standing,2022-12-02,922
923,active,Loan in good standing,2022-08-10,923
924,closed,Loan successfully repaid,2021-10-04,924
925,closed,Loan successfully repaid,2023-07-02,925
926,active,Loan in good standing,2023-06-28,926
927,overdue,Payment overdue,2017-04-17,927
928,active,Loan in good standing,2023-11-26,928
929,active,Loan in good standing,2020-02-10,929
930,closed,Loan successfully repaid,2022-07-01,930
931,active,Loan in good standing,2023-11-26,931
932,overdue,Payment overdue,2023-02-15,932
933,active,Loan in good standing,2023-07-30,933
934,overdue,Payment overdue,2022-10-05,934
935,active,Loan in good standing,2022-06-22,935
936,overdue,Payment overdue,2022-05-03,936
937,closed,Loan successfully repaid,2019-04-26,937
938,closed,Loan successfully repaid,2021-04-18,938
939,overdue,Payment overdue,2020-09-07,939
940,overdue,Payment overdue,2022-11-24,940
941,closed,Loan successfully repaid,2019-07-28,941
942,closed,Loan successfully repaid,2017-07-31,942
943,active,Loan in good standing,2023-10-01,943
944,overdue,Payment overdue,2022-09-25,944
945,closed,Loan successfully repaid,2020-06-11,945
946,overdue,Payment overdue,2021-07-09,946
947,closed,Loan successfully repaid,2023-08-26,947
948,active,Loan in good standing,2022-09-27,948
949,closed,Loan successfully repaid,2021-04-16,949
950,overdue,Payment overdue,2017-04-25,950
951,active,Loan in good standing,2023-11-26,951
952,closed,Loan successfully repaid,2021-11-05,952
953,overdue,Payment overdue,2021-07-22,953
954,active,Loan in good standing,2023-11-11,954
955,overdue,Payment overdue,2023-04-29,955
956,active,Loan in good standing,2022-06-18,956
957,closed,Loan successfully repaid,2018-11-12,957
958,overdue,Payment overdue,2021-07-19,958
959,closed,Loan successfully repaid,2021-09-28,959
960,active,Loan in good standing,2022-11-03,960
961,closed,Loan successfully repaid,2023-03-20,961
962,overdue,Payment overdue,2021-05-22,962
963,closed,Loan successfully repaid,2021-09-02,963
964,closed,Loan successfully repaid,2020-01-06,964
965,closed,Loan successfully repaid,2020-09-25,965
966,closed,Loan successfully repaid,2021-12-21,966
967,active,Loan in good standing,2023-11-26,967
968,active,Loan in good standing,2022-10-24,968
969,active,Loan in good standing,2023-11-04,969
970,closed,Loan successfully repaid,2020-12-20,970
971,active,Loan in good standing,2020-05-09,971
972,closed,Loan successfully repaid,2018-12-09,972
973,overdue,Payment overdue,2023-06-29,973
974,active,Loan in good standing,2023-05-27,974
975,overdue,Payment overdue,2023-10-25,975
976,active,Loan in good standing,2022-05-15,976
977,closed,Loan successfully repaid,2021-09-17,977
978,active,Loan in good standing,2023-11-26,978
979,active,Loan in good standing,2023-11-26,979
980,overdue,Payment overdue,2021-09-18,980
981,closed,Loan successfully repaid,2020-07-18,981
982,active,Loan in good standing,2023-09-28,982
983,overdue,Payment overdue,2022-05-04,983
984,active,Loan in good standing,2020-05-06,984
985,overdue,Payment overdue,2023-03-13,985
986,overdue,Payment overdue,2023-09-15,986
987,overdue,Payment overdue,2018-04-02,987
988,closed,Loan successfully repaid,2017-02-10,988
989,active,Loan in good standing,2023-10-15,989
990,active,Loan in good standing,2023-11-26,990
991,active,Loan in good standing,2023-11-26,991
992,closed,Loan successfully repaid,2022-11-17,992
993,overdue,Payment overdue,2023-03-12,993
994,active,Loan in good standing,2023-11-26,994
995,closed,Loan successfully repaid,2020-05-28,995
996,overdue,Payment overdue,2021-11-01,996
997,closed,Loan successfully repaid,2017-11-07,997
998,active,Loan in good standing,2022-11-17,998
999,active,Loan in good standing,2023-11-26,999
1000,closed,Loan successfully repaid,2016-11-07,1000
1001,active,Loan in good standing,2022-06-09,1001
1002,active,Loan in good standing,2023-11-26,1002
1003,active,Loan in good standing,2022-01-27,1003
1004,active,Loan in good standing,2020-06-08,1004
1005,active,Loan in good standing,2023-11-26,1005
1006,overdue,Payment overdue,2021-01-18,1006
1007,closed,Loan successfully repaid,2020-08-30,1007
1008,active,Loan in good standing,2023-06-09,1008
1009,overdue,Payment overdue,2020-04-10,1009
1010,closed,Loan successfully repaid,2023-01-12,1010
1011,active,Loan in good standing,2023-07-06,1011
1012,overdue,Payment overdue,2023-01-15,1012
1013,overdue,Payment overdue,2022-10-28,1013
1014,active,Loan in good standing,2023-09-11,1014
1015,overdue,Payment overdue,2023-03-20,1015
1016,closed,Loan successfully repaid,2018-05-27,1016
1017,closed,Loan successfully repaid,2022-03-03,1017
1018,active,Loan in good standing,2023-07-17,1018
1019,overdue,Payment overdue,2019-02-03,1019
1020,active,Loan in good standing,2021-10-17,1020
1021,closed,Loan successfully repaid,2020-06-18,1021
1022,active,Loan in good standing,2017-01-21,1022
1023,active,Loan in good standing,2023-11-26,1023
1024,closed,Loan successfully repaid,2022-10-23,1024
1025,closed,Loan successfully repaid,2021-09-24,1025
1026,closed,Loan successfully repaid,2022-04-12,1026
1027,closed,Loan successfully repaid,2020-12-14,1027
1028,active,Loan in good standing,2019-02-24,1028
1029,overdue,Payment overdue,2023-02-28,1029
1030,active,Loan in good standing,2023-11-26,1030
1031,active,Loan in good standing,2023-11-02,1031
1032,active,Loan in good standing,2017-02-03,1032
1033,overdue,Payment overdue,2022-01-11,1033
1034,closed,Loan successfully repaid,2021-07-24,1034
1035,overdue,Payment overdue,2019-06-21,1035
1036,overdue,Payment overdue,2020-08-27,1036
1037,closed,Loan successfully repaid,2020-09-08,1037
1038,active,Loan in good standing,2023-01-17,1038
1039,active,Loan in good standing,2023-10-07,1039
1040,closed,Loan successfully repaid,2022-09-16,1040
1041,overdue,Payment overdue,2023-11-13,1041
1042,closed,Loan successfully repaid,2017-06-20,1042
1043,active,Loan in good standing,2023-11-26,1043
1044,overdue,Payment overdue,2023-09-08,1044
1045,overdue,Payment overdue,2017-08-24,1045
1046,closed,Loan successfully repaid,2020-01-28,1046
1047,active,Loan in good standing,2023-08-06,1047
1048,overdue,Payment overdue,2022-02-06,1048
1049,closed,Loan successfully repaid,2019-06-20,1049
1050,overdue,Payment overdue,2019-03-02,1050
1051,overdue,Payment overdue,2022-09-20,1051
1052,overdue,Payment overdue,2023-05-26,1052
1053,active,Loan in good standing,2023-08-01,1053
1054,active,Loan in good standing,2023-11-26,1054
1055,active,Loan in good standing,2023-11-26,1055
1056,active,Loan in good standing,2022-07-17,1056
1057,active,Loan in good standing,2023-11-26,1057
1058,active,Loan in good standing,2023-11-26,1058
1059,active,Loan in good standing,2022-07-11,1059
1060,overdue,Payment overdue,2018-11-15,1060
1061,active,Loan in good standing,2018-10-26,1061
1062,overdue,Payment overdue,2021-02-04,1062
1063,closed,Loan successfully repaid,2018-12-24,1063
1064,overdue,Payment overdue,2020-02-02,1064
1065,active,Loan in good standing,2020-01-27,1065
1066,closed,Loan successfully repaid,2022-02-23,1066
1067,active,Loan in good standing,2023-11-03,1067
1068,closed,Loan successfully repaid,2019-06-20,1068
1069,active,Loan in good standing,2021-09-24,1069
1070,overdue,Payment overdue,2022-12-22,1070
1071,active,Loan in good standing,2023-11-26,1071
1072,active,Loan in good standing,2023-01-04,1072
1073,overdue,Payment overdue,2023-11-24,1073
1074,closed,Loan successfully repaid,2020-02-23,1074
1075,closed,Loan successfully repaid,2016-05-03,1075
1076,active,Loan in good standing,2023-11-26,1076
1077,active,Loan in good standing,2023-11-23,1077
1078,overdue,Payment overdue,2018-08-13,1078
1079,closed,Loan successfully repaid,2022-03-11,1079
1080,closed,Loan successfully repaid,2016-09-17,1080
1081,overdue,Payment overdue,2022-10-17,1081
1082,closed,Loan successfully repaid,2023-04-30,1082
1083,overdue,Payment overdue,2019-12-06,1083
1084,closed,Loan successfully repaid,2019-10-22,1084
1085,closed,Loan successfully repaid,2019-12-12,1085
1086,active,Loan in good standing,2021-12-27,1086
1087,overdue,Payment overdue,2020-08-23,1087
1088,overdue,Payment overdue,2016-09-30,1088
1089,overdue,Payment overdue,2021-10-21,1089
1090,overdue,Payment overdue,2022-04-16,1090
1091,closed,Loan successfully repaid,2022-12-26,1091
1092,overdue,Payment overdue,2020-08-28,1092
1093,overdue,Payment overdue,2020-04-14,1093
1094,active,Loan in good standing,2022-05-04,1094
1095,overdue,Payment overdue,2023-01-23,1095
1096,closed,Loan successfully repaid,2019-02-07,1096
1097,active,Loan in good standing,2023-09-27,1097
1098,active,Loan in good standing,2023-02-06,1098
1099,active,Loan in good standing,2023-03-26,1099
1100,overdue,Payment overdue,2017-06-18,1100
1101,active,Loan in good standing,2023-08-18,1101
1102,active,Loan in good standing,2023-04-13,1102
1103,overdue,Payment overdue,2019-03-20,1103
1104,closed,Loan successfully repaid,2016-08-09,1104
1105,overdue,Payment overdue,2023-01-05,1105
1106,overdue,Payment overdue,2022-04-24,1106
1107,active,Loan in good standing,2018-11-12,1107
1108,active,Loan in good standing,2023-11-26,1108
1109,closed,Loan successfully repaid,2018-07-16,1109
1110,closed,Loan successfully repaid,2021-06-26,1110
1111,active,Loan in good standing,2019-10-09,1111
1112,overdue,Payment overdue,2021-06-25,1112
1113,active,Loan in good standing,2019-05-08,1113
1114,closed,Loan successfully repaid,2018-03-08,1114
1115,active,Loan in good standing,2019-12-23,1115
1116,active,Loan in good standing,2022-09-11,1116
1117,active,Loan in good standing,2023-07-25,1117
1118,closed,Loan successfully repaid,2022-06-09,1118
1119,active,Loan in good standing,2022-01-17,1119
1120,active,Loan in good standing,2023-08-08,1120
1121,active,Loan in good standing,2023-01-09,1121
1122,active,Loan in good standing,2023-11-26,1122
1123,active,Loan in good standing,2023-07-07,1123
1124,overdue,Payment overdue,2023-11-26,1124
1125,overdue,Payment overdue,2021-03-03,1125
1126,overdue,Payment overdue,2022-04-27,1126
1127,closed,Loan successfully repaid,2018-12-04,1127
1128,closed,Loan successfully repaid,2021-05-26,1128
1129,closed,Loan successfully repaid,2021-12-02,1129
1130,active,Loan in good standing,2019-09-15,1130
1131,closed,Loan successfully repaid,2021-10-15,1131
1132,closed,Loan successfully repaid,2022-07-29,1132
1133,closed,Loan successfully repaid,2019-02-25,1133
1134,overdue,Payment overdue,2023-01-30,1134
1135,closed,Loan successfully repaid,2021-01-08,1135
1136,active,Loan in good standing,2022-07-12,1136
1137,active,Loan in good standing,2023-11-26,1137
1138,active,Loan in good standing,2023-11-26,1138
1139,overdue,Payment overdue,2023-01-03,1139
1140,active,Loan in good standing,2023-06-15,1140
1141,overdue,Payment overdue,2023-03-19,1141
1142,closed,Loan successfully repaid,2023-02-12,1142
1143,closed,Loan successfully repaid,2023-08-12,1143
1144,active,Loan in good standing,2023-11-26,1144
1145,active,Loan in good standing,2023-11-26,1145
1146,closed,Loan successfully repaid,2020-09-26,1146
1147,overdue,Payment overdue,2022-06-20,1147
1148,active,Loan in good standing,2022-11-20,1148
1149,overdue,Payment overdue,2022-04-04,1149
1150,overdue,Payment overdue,2022-07-29,1150
1151,active,Loan in good standing,2021-07-14,1151
1152,closed,Loan successfully repaid,2020-01-03,1152
1153,active,Loan in good standing,2023-03-21,1153
1154,overdue,Payment overdue,2021-08-05,1154
1155,closed,Loan successfully repaid,2019-09-15,1155
1156,active,Loan in good standing,2023-09-21,1156
1157,closed,Loan successfully repaid,2020-03-12,1157
1158,closed,Loan successfully repaid,2019-12-19,1158
1159,overdue,Payment overdue,2019-09-03,1159
1160,active,Loan in good standing,2023-11-26,1160
1161,closed,Loan successfully repaid,2022-02-08,1161
1162,active,Loan in good standing,2023-11-26,1162
1163,active,Loan in good standing,2023-11-26,1163
1164,overdue,Payment overdue,2021-05-12,1164
1165,overdue,Payment overdue,2022-11-01,1165
1166,overdue,Payment overdue,2022-04-06,1166
1167,closed,Loan successfully repaid,2022-03-15,1167
1168,closed,Loan successfully repaid,2023-05-01,1168
1169,active,Loan in good standing,2023-11-26,1169
1170,overdue,Payment overdue,2023-03-29,1170
1171,closed,Loan successfully repaid,2019-08-23,1171
1172,closed,Loan successfully repaid,2023-10-15,1172
1173,overdue,Payment overdue,2023-05-31,1173
1174,closed,Loan successfully repaid,2017-02-08,1174
1175,active,Loan in good standing,2019-05-07,1175
1176,active,Loan in good standing,2023-11-26,1176
1177,active,Loan in good standing,2023-11-26,1177
1178,active,Loan in good standing,2023-11-26,1178
1179,overdue,Payment overdue,2019-09-14,1179
1180,closed,Loan successfully repaid,2018-03-27,1180
1181,overdue,Payment overdue,2019-08-06,1181
1182,closed,Loan successfully repaid,2022-02-07,1182
1183,overdue,Payment overdue,2023-11-26,1183
1184,closed,Loan successfully repaid,2018-12-27,1184
1185,active,Loan in good standing,2020-11-19,1185
1186,closed,Loan successfully repaid,2021-12-17,1186
1187,active,Loan in good standing,2023-08-12,1187
1188,active,Loan in good standing,2023-11-26,1188
1189,closed,Loan successfully repaid,2017-05-19,1189
1190,active,Loan in good standing,2022-10-28,1190
1191,closed,Loan successfully repaid,2022-09-07,1191
1192,active,Loan in good standing,2022-10-08,1192
1193,overdue,Payment overdue,2021-08-09,1193
1194,closed,Loan successfully repaid,2023-10-02,1194
1195,overdue,Payment overdue,2021-04-26,1195
1196,closed,Loan successfully repaid,2022-03-20,1196
1197,active,Loan in good standing,2023-11-26,1197
1198,closed,Loan successfully repaid,2022-10-29,1198
1199,overdue,Payment overdue,2020-12-31,1199
1200,overdue,Payment overdue,2023-03-25,1200
1201,closed,Loan successfully repaid,2022-03-11,1201
1202,overdue,Payment overdue,2023-09-13,1202
1203,active,Loan in good standing,2023-11-06,1203
1204,active,Loan in good standing,2023-11-26,1204
1205,active,Loan in good standing,2022-10-10,1205
1206,closed,Loan successfully repaid,2020-02-20,1206
1207,overdue,Payment overdue,2018-11-06,1207
1208,active,Loan in good standing,2023-11-24,1208
1209,overdue,Payment overdue,2021-08-06,1209
1210,overdue,Payment overdue,2021-12-17,1210
1211,active,Loan in good standing,2023-08-06,1211
1212,overdue,Payment overdue,2022-01-12,1212
1213,active,Loan in good standing,2020-05-14,1213
1214,overdue,Payment overdue,2023-08-21,1214
1215,active,Loan in good standing,2023-11-26,1215
1216,closed,Loan successfully repaid,2017-06-06,1216
1217,closed,Loan successfully repaid,2020-04-14,1217
1218,overdue,Payment overdue,2023-03-22,1218
1219,active,Loan in good standing,2021-05-21,1219
1220,closed,Loan successfully repaid,2021-08-16,1220
1221,active,Loan in good standing,2021-04-14,1221
1222,overdue,Payment overdue,2023-06-03,1222
1223,closed,Loan successfully repaid,2017-09-04,1223
1224,active,Loan in good standing,2023-03-14,1224
1225,overdue,Payment overdue,2020-05-04,1225
1226,closed,Loan successfully repaid,2018-12-08,1226
1227,active,Loan in good standing,2018-04-19,1227
1228,overdue,Payment overdue,2022-11-20,1228
1229,closed,Loan successfully repaid,2020-10-05,1229
1230,overdue,Payment overdue,2019-09-13,1230
1231,closed,Loan successfully repaid,2020-06-11,1231
1232,active,Loan in good standing,2023-09-16,1232
1233,overdue,Payment overdue,2022-04-10,1233
