type_of_loan_id,name,interest_rate,payment_term
1068,Business,3.08,64
1069,Debt consolidation,5.86,916
1070,Home equity,8.83,516
1071,Debt consolidation,5.49,694
1072,Student,9.59,299
1073,Personal,9.8,673
1074,Mortgage,6.68,916
1075,Credit-builder,7.24,641
1076,Payday,8.03,647
1077,Debt consolidation,8.34,484
1078,Auto,3.71,842
1079,Personal,9.44,208
1080,Student,6.1,190
1081,Debt consolidation,4.02,325
1082,Business,3.74,293
1083,Mortgage,7.47,826
1084,Auto,8.87,649
1085,Auto,6.29,535
1086,Home equity,4.79,667
1087,Auto,3.77,515
1088,Business,7.97,357
1089,Business,3.31,867
1090,Credit-builder,4.33,189
1091,Home equity,7.0,710
1092,Business,7.89,418
1093,Student,4.76,129
1094,Debt consolidation,6.66,548
1095,Debt consolidation,8.29,609
1096,Payday,7.18,233
1097,Auto,4.89,925
1098,Credit-builder,3.95,838
1099,Mortgage,9.98,420
1100,Student,4.84,630
1101,Home equity,8.33,1051
1102,Personal,6.53,911
1103,Business,3.48,491
1104,Business,3.31,229
1105,Business,4.55,119
1106,Mortgage,5.11,49
1107,Student,9.1,301
1108,Personal,6.38,1009
1109,Personal,6.31,364
1110,Home equity,7.33,972
1111,Auto,5.92,21
1112,Credit-builder,7.57,14
1113,Personal,3.95,509
1114,Home equity,9.41,296
1115,Mortgage,3.58,398
1116,Home equity,8.81,616
1117,Home equity,7.79,540
1118,Debt consolidation,4.22,190
1119,Auto,8.97,665
1120,Payday,3.77,627
1121,Mortgage,6.41,423
1122,Home equity,3.66,142
1123,Business,6.3,820
1124,Debt consolidation,9.14,396
1125,Personal,3.17,274
1126,Mortgage,8.99,335
1127,Mortgage,4.59,801
1128,Debt consolidation,7.83,853
1129,Home equity,4.73,681
1130,Credit-builder,7.27,621
1131,Student,5.98,908
1132,Student,6.47,870
1133,Auto,4.88,775
1134,Debt consolidation,9.82,37
1135,Personal,9.26,647
1136,Credit-builder,6.75,68
1137,Student,8.84,742
1138,Debt consolidation,6.15,63
1139,Credit-builder,6.53,308
1140,Auto,4.28,946
1141,Payday,8.21,375
1142,Auto,7.3,235
1143,Debt consolidation,6.82,726
1144,Auto,8.23,716
1145,Payday,3.69,591
1146,Credit-builder,3.7,176
1147,Mortgage,9.37,870
1148,Payday,4.25,599
1149,Credit-builder,4.77,702
1150,Credit-builder,4.19,427
1151,Business,7.2,501
1152,Debt consolidation,3.64,224
1153,Mortgage,4.35,390
1154,Credit-builder,5.69,184
1155,Home equity,9.35,391
1156,Mortgage,3.02,1046
1157,Home equity,8.24,224
1158,Mortgage,6.46,611
1159,Mortgage,5.84,691
1160,Payday,3.96,595
1161,Mortgage,9.99,494
1162,Mortgage,7.59,470
1163,Home equity,7.42,194
1164,Mortgage,4.99,334
1165,Home equity,4.77,317
1166,Auto,8.15,758
1167,Credit-builder,9.26,1009
1168,Business,7.53,550
1169,Home equity,9.02,482
1170,Business,6.09,944
1171,Business,3.1,720
1172,Mortgage,5.29,792
1173,Payday,4.71,1067
1174,Personal,3.09,16
1175,Home equity,9.85,358
1176,Student,3.04,53
1177,Student,7.47,689
1178,Auto,3.5,827
1179,Business,4.54,907
1180,Debt consolidation,3.17,634
1181,Mortgage,9.74,256
1182,Debt consolidation,6.85,828
1183,Home equity,5.05,484
1184,Payday,3.47,803
1185,Student,8.57,144
1186,Credit-builder,3.38,997
1187,Credit-builder,8.84,625
1188,Debt consolidation,7.02,640
1189,Debt consolidation,9.27,1017
1190,Home equity,5.53,1063
1191,Debt consolidation,6.95,966
1192,Mortgage,4.85,789
1193,Auto,9.24,898
1194,Home equity,4.29,501
1195,Personal,3.75,769
1196,Mortgage,5.25,491
1197,Payday,6.75,750
1198,Auto,9.82,376
1199,Auto,6.12,227
1200,Auto,9.5,504
1201,Student,5.41,826
1202,Auto,7.41,475
1203,Credit-builder,4.23,430
1204,Mortgage,6.58,652
1205,Payday,7.97,138
1206,Home equity,4.85,632
1207,Credit-builder,9.87,602
1208,Business,8.35,864
1209,Auto,8.48,585
1210,Debt consolidation,6.67,730
1211,Student,9.16,100
1212,Auto,9.08,233
1213,Payday,4.85,404
1214,Auto,4.06,745
1215,Payday,3.98,399
1216,Mortgage,3.43,73
1217,Home equity,3.15,462
1218,Student,8.2,999
1219,Mortgage,8.38,41
1220,Credit-builder,4.37,345
1221,Business,6.93,178
1222,Business,5.06,285
1223,Payday,3.79,852
1224,Personal,5.45,607
1225,Debt consolidation,4.72,490
1226,Debt consolidation,3.48,366
1227,Payday,3.23,940
1228,Student,9.08,257
1229,Business,3.29,623
1230,Debt consolidation,6.67,581
1231,Credit-builder,8.38,34
1232,Debt consolidation,6.26,424
1233,Mortgage,6.94,622
1234,Student,5.28,51
1235,Mortgage,4.35,708
1236,Student,4.99,680
1237,Home equity,6.36,130
1238,Auto,3.6,74
1239,Credit-builder,9.96,423
1240,Mortgage,4.94,80
1241,Home equity,5.46,1003
1242,Business,8.67,684
1243,Business,9.33,219
1244,Business,5.63,1010
1245,Home equity,4.93,854
1246,Personal,4.38,1016
1247,Debt consolidation,6.7,734
1248,Home equity,9.96,199
1249,Payday,3.13,723
1250,Personal,4.22,812
1251,Business,7.06,900
1252,Auto,9.97,322
1253,Debt consolidation,3.02,56
1254,Student,6.69,97
1255,Home equity,7.36,1017
1256,Credit-builder,5.41,781
1257,Debt consolidation,9.36,130
1258,Mortgage,8.43,36
1259,Personal,5.75,879
1260,Credit-builder,4.04,584
1261,Home equity,7.4,448
1262,Personal,7.48,584
1263,Mortgage,3.52,473
1264,Business,8.32,342
1265,Personal,9.54,343
1266,Debt consolidation,4.6,750
1267,Auto,5.84,699
1268,Auto,7.66,651
1269,Payday,5.12,308
1270,Payday,7.02,444
1271,Auto,8.74,396
1272,Business,3.95,146
1273,Business,6.3,323
1274,Mortgage,5.92,1069
1275,Home equity,5.88,384
1276,Mortgage,5.1,424
1277,Business,4.87,340
1278,Auto,3.93,13
1279,Auto,5.73,582
1280,Debt consolidation,4.71,31
1281,Student,6.34,971
1282,Debt consolidation,3.15,283
1283,Auto,5.73,73
1284,Personal,9.18,63
1285,Home equity,9.11,992
1286,Payday,6.13,394
1287,Student,3.83,595
1288,Student,5.05,43
1289,Auto,7.05,871
1290,Debt consolidation,9.81,257
1291,Business,9.46,848
1292,Auto,5.42,750
1293,Business,4.02,279
1294,Auto,4.28,199
1295,Debt consolidation,7.61,934
1296,Student,4.46,716
1297,Home equity,4.09,222
1298,Home equity,4.07,214
1299,Credit-builder,3.84,400
1300,Student,5.69,846
1301,Credit-builder,3.07,830
1302,Payday,8.74,304
1303,Student,6.65,164
1304,Home equity,7.27,30
1305,Student,8.34,372
1306,Personal,6.84,264
1307,Mortgage,8.67,177
1308,Student,9.49,313
1309,Personal,4.43,244
1310,Credit-builder,4.81,756
1311,Auto,3.47,800
1312,Home equity,3.49,617
1313,Student,6.15,240
1314,Home equity,6.9,307
1315,Credit-builder,5.63,818
1316,Credit-builder,4.93,732
1317,Personal,8.15,108
1318,Student,8.41,378
1319,Student,3.85,628
1320,Personal,5.93,436
1321,Auto,9.83,886
1322,Personal,6.29,1002
1323,Business,6.78,1032
1324,Auto,8.36,1065
1325,Payday,8.05,445
1326,Debt consolidation,5.36,412
1327,Debt consolidation,3.84,879
1328,Personal,5.2,820
1329,Payday,5.19,539
1330,Student,8.54,482
1331,Debt consolidation,8.39,833
1332,Auto,4.26,793
1333,Payday,3.83,850
1334,Mortgage,3.09,892
1335,Home equity,8.48,605
1336,Business,6.89,546
1337,Debt consolidation,8.96,688
1338,Credit-builder,8.45,103
1339,Mortgage,6.97,435
1340,Business,9.49,397
1341,Payday,3.25,196
1342,Business,7.12,802
1343,Business,5.52,109
1344,Auto,4.2,470
1345,Home equity,9.77,614
1346,Payday,4.59,187
1347,Payday,8.38,932
1348,Home equity,6.45,916
1349,Payday,9.64,1024
1350,Debt consolidation,4.74,146
1351,Home equity,8.6,383
1352,Mortgage,4.8,867
1353,Business,8.08,898
1354,Home equity,3.99,80
1355,Personal,5.29,451
1356,Credit-builder,3.71,352
1357,Mortgage,8.77,428
1358,Auto,9.39,224
1359,Mortgage,8.4,520
1360,Home equity,7.12,616
1361,Home equity,4.65,159
1362,Student,5.14,771
1363,Personal,9.28,582
1364,Home equity,8.88,676
1365,Home equity,4.93,99
1366,Debt consolidation,6.31,1074
1367,Business,4.0,541
1368,Student,7.88,558
1369,Home equity,5.55,906
1370,Auto,5.33,620
1371,Business,7.88,809
1372,Personal,7.94,1029
1373,Mortgage,7.33,605
1374,Personal,3.34,55
1375,Business,4.01,401
1376,Student,5.18,929
1377,Payday,7.62,1024
1378,Student,4.45,295
1379,Credit-builder,7.87,254
1380,Auto,7.92,613
1381,Student,7.4,45
1382,Personal,4.64,208
1383,Business,3.47,330
1384,Mortgage,5.05,803
1385,Auto,7.26,610
1386,Business,7.95,548
1387,Home equity,8.96,1028
1388,Payday,9.82,728
1389,Mortgage,5.44,611
1390,Mortgage,9.35,650
1391,Home equity,9.19,969
1392,Mortgage,3.47,516
1393,Debt consolidation,5.38,959
1394,Business,4.37,159
1395,Credit-builder,4.17,229
1396,Home equity,7.75,358
1397,Payday,9.04,932
1398,Personal,8.15,514
1399,Home equity,5.65,193
1400,Mortgage,5.93,186
1401,Student,4.87,301
1402,Auto,5.58,576
1403,Business,7.73,137
1404,Payday,3.93,977
1405,Personal,5.8,152
1406,Mortgage,8.8,143
1407,Student,9.13,1025
1408,Home equity,6.31,431
1409,Home equity,8.1,137
1410,Credit-builder,4.95,889
1411,Credit-builder,6.61,527
1412,Payday,5.43,213
1413,Business,3.96,990
1414,Debt consolidation,8.82,664
1415,Payday,3.7,443
1416,Business,3.7,322
1417,Debt consolidation,3.18,516
1418,Personal,8.19,332
1419,Payday,3.26,396
1420,Home equity,8.78,943
1421,Personal,6.13,511
1422,Debt consolidation,7.46,1054
1423,Auto,5.5,602
1424,Business,5.54,728
1425,Home equity,8.32,717
1426,Credit-builder,4.35,482
1427,Credit-builder,4.89,291
1428,Home equity,3.69,278
1429,Mortgage,6.69,1049
1430,Mortgage,9.68,277
1431,Payday,5.49,774
1432,Debt consolidation,5.56,1074
1433,Auto,7.74,729
1434,Student,4.26,739
1435,Business,6.6,69
1436,Student,8.35,951
1437,Business,6.48,38
1438,Home equity,9.38,397
1439,Student,7.68,1089
1440,Auto,6.0,846
1441,Auto,9.66,848
1442,Home equity,3.93,685
1443,Student,5.45,564
1444,Personal,9.62,878
1445,Payday,8.42,389
1446,Home equity,3.39,1088
1447,Debt consolidation,3.22,892
1448,Mortgage,4.86,316
1449,Business,8.75,960
1450,Student,7.69,89
1451,Credit-builder,5.07,481
1452,Payday,4.16,588
1453,Student,6.13,618
1454,Business,7.58,326
1455,Home equity,7.24,807
1456,Mortgage,8.25,215
1457,Home equity,7.25,536
1458,Auto,5.21,852
1459,Mortgage,4.44,172
1460,Auto,7.07,229
1461,Auto,6.13,483
1462,Payday,3.03,1088
1463,Home equity,6.23,880
1464,Mortgage,9.9,906
1465,Business,7.59,691
1466,Personal,8.1,288
1467,Credit-builder,9.68,137
1468,Auto,6.81,591
1469,Business,3.02,203
1470,Personal,5.87,383
1471,Payday,5.37,1065
1472,Business,8.09,978
1473,Business,8.32,356
1474,Debt consolidation,4.81,922
1475,Business,4.59,125
1476,Business,9.94,351
1477,Auto,4.86,757
1478,Student,7.95,512
1479,Mortgage,9.78,343
1480,Credit-builder,5.85,368
1481,Home equity,7.47,423
1482,Debt consolidation,3.73,1040
1483,Mortgage,5.98,823
1484,Auto,9.9,843
1485,Credit-builder,4.28,776
1486,Mortgage,7.28,1000
1487,Student,9.25,716
1488,Auto,9.79,1000
1489,Personal,5.69,203
1490,Business,7.27,776
1491,Personal,9.45,261
1492,Personal,6.01,697
1493,Debt consolidation,8.22,678
1494,Mortgage,6.8,92
1495,Home equity,6.84,1034
1496,Debt consolidation,3.42,1038
1497,Credit-builder,3.48,664
1498,Mortgage,6.23,1069
1499,Credit-builder,5.87,183
1500,Personal,6.9,1045
